event,miamiScore,opponentScore,pointDifference,elapsedTime,opponent,id
,50,57,-7,1324.0,MIL,202310300MIL
,50,59,-9,1361.0,MIL,202310300MIL
,51,59,-8,1380.0,MIL,202310300MIL
,52,59,-7,1380.0,MIL,202310300MIL
,52,62,-10,1440.0,MIL,202310300MIL
,52,64,-12,1464.0,MIL,202310300MIL
,52,66,-14,1493.0,MIL,202310300MIL
,52,67,-15,1493.0,MIL,202310300MIL
,54,67,-13,1524.0,MIL,202310300MIL
,56,67,-11,1559.0,MIL,202310300MIL
,56,70,-14,1574.0,MIL,202310300MIL
,56,73,-17,1608.0,MIL,202310300MIL
,56,75,-19,1657.0,MIL,202310300MIL
,56,77,-21,1674.0,MIL,202310300MIL
,58,77,-19,1689.0,MIL,202310300MIL
,58,79,-21,1730.0,MIL,202310300MIL
,60,79,-19,1777.0,MIL,202310300MIL
,63,79,-16,1797.0,MIL,202310300MIL
,63,81,-18,1817.0,MIL,202310300MIL
,65,81,-16,1842.0,MIL,202310300MIL
,68,81,-13,1873.0,MIL,202310300MIL
,68,83,-15,1899.0,MIL,202310300MIL
,69,83,-14,1920.0,MIL,202310300MIL
,69,85,-16,1981.0,MIL,202310300MIL
,71,85,-14,1994.0,MIL,202310300MIL
,71,88,-17,2041.0,MIL,202310300MIL
,71,90,-19,2068.0,MIL,202310300MIL
,71,91,-20,2068.0,MIL,202310300MIL
,73,91,-18,2085.0,MIL,202310300MIL
,73,93,-20,2100.0,MIL,202310300MIL
,73,96,-23,2134.0,MIL,202310300MIL
,73,97,-24,2158.0,MIL,202310300MIL
,76,97,-21,2176.0,MIL,202310300MIL
,76,99,-23,2202.0,MIL,202310300MIL
,76,100,-24,2202.0,MIL,202310300MIL
,78,100,-22,2240.0,MIL,202310300MIL
,78,103,-25,2261.0,MIL,202310300MIL
,80,103,-23,2273.0,MIL,202310300MIL
,83,103,-20,2310.0,MIL,202310300MIL
,83,104,-21,2322.0,MIL,202310300MIL
,83,105,-22,2322.0,MIL,202310300MIL
,85,105,-20,2349.0,MIL,202310300MIL
,85,107,-22,2369.0,MIL,202310300MIL
,87,107,-20,2373.0,MIL,202310300MIL
,90,107,-17,2428.0,MIL,202310300MIL
,93,107,-14,2468.0,MIL,202310300MIL
,96,107,-11,2525.0,MIL,202310300MIL
,96,109,-13,2540.0,MIL,202310300MIL
,98,109,-11,2564.0,MIL,202310300MIL
,100,109,-9,2597.0,MIL,202310300MIL
,100,110,-10,2616.0,MIL,202310300MIL
,100,111,-11,2616.0,MIL,202310300MIL
,101,111,-10,2639.0,MIL,202310300MIL
,102,111,-9,2639.0,MIL,202310300MIL
,102,113,-11,2653.0,MIL,202310300MIL
,105,113,-8,2667.0,MIL,202310300MIL
,105,114,-9,2761.0,MIL,202310300MIL
,105,115,-10,2761.0,MIL,202310300MIL
,107,115,-8,2772.0,MIL,202310300MIL
,109,115,-6,2798.0,MIL,202310300MIL
,109,117,-8,2804.0,MIL,202310300MIL
,109,118,-9,2804.0,MIL,202310300MIL
,109,120,-11,2835.0,MIL,202310300MIL
,110,120,-10,2843.0,MIL,202310300MIL
,111,120,-9,2843.0,MIL,202310300MIL
,114,120,-6,2852.0,MIL,202310300MIL
,114,121,-7,2863.0,MIL,202310300MIL
,114,122,-8,2863.0,MIL,202310300MIL
,114,122,-8,2880.0,MIL,202310300MIL
,0,0,0,0.0,NJN,202311010MIA
,0,2,-2,28.0,NJN,202311010MIA
T,2,2,0,41.0,NJN,202311010MIA
,2,3,-1,86.0,NJN,202311010MIA
,2,5,-3,154.0,NJN,202311010MIA
T,5,5,0,172.0,NJN,202311010MIA
LC,7,5,2,216.0,NJN,202311010MIA
,9,5,4,246.0,NJN,202311010MIA
,11,5,6,271.0,NJN,202311010MIA
,11,8,3,331.0,NJN,202311010MIA
,13,8,5,347.0,NJN,202311010MIA
,14,8,6,347.0,NJN,202311010MIA
,14,10,4,379.0,NJN,202311010MIA
,15,10,5,387.0,NJN,202311010MIA
,16,10,6,387.0,NJN,202311010MIA
,16,12,4,402.0,NJN,202311010MIA
,18,12,6,421.0,NJN,202311010MIA
,18,15,3,434.0,NJN,202311010MIA
,19,15,4,444.0,NJN,202311010MIA
,20,15,5,444.0,NJN,202311010MIA
,22,15,7,463.0,NJN,202311010MIA
,22,17,5,474.0,NJN,202311010MIA
,25,17,8,491.0,NJN,202311010MIA
,26,17,9,524.0,NJN,202311010MIA
,26,20,6,541.0,NJN,202311010MIA
,26,23,3,574.0,NJN,202311010MIA
,26,24,2,598.0,NJN,202311010MIA
,26,25,1,598.0,NJN,202311010MIA
,28,25,3,611.0,NJN,202311010MIA
,28,27,1,642.0,NJN,202311010MIA
,31,27,4,695.0,NJN,202311010MIA
,31,28,3,715.0,NJN,202311010MIA
,31,29,2,715.0,NJN,202311010MIA
,32,29,3,719.0,NJN,202311010MIA
,34,29,5,757.0,NJN,202311010MIA
,37,29,8,803.0,NJN,202311010MIA
,39,29,10,855.0,NJN,202311010MIA
,39,32,7,964.0,NJN,202311010MIA
,41,32,9,987.0,NJN,202311010MIA
,41,34,7,999.0,NJN,202311010MIA
,42,34,8,1013.0,NJN,202311010MIA
,43,34,9,1013.0,NJN,202311010MIA
,43,36,7,1028.0,NJN,202311010MIA
,45,36,9,1091.0,NJN,202311010MIA
,48,36,12,1130.0,NJN,202311010MIA
,48,38,10,1194.0,NJN,202311010MIA
,50,38,12,1217.0,NJN,202311010MIA
,53,38,15,1241.0,NJN,202311010MIA
,53,39,14,1348.0,NJN,202311010MIA
,53,40,13,1348.0,NJN,202311010MIA
,56,40,16,1364.0,NJN,202311010MIA
,56,43,13,1382.0,NJN,202311010MIA
,56,46,10,1409.0,NJN,202311010MIA
,59,46,13,1477.0,NJN,202311010MIA
,61,46,15,1512.0,NJN,202311010MIA
,61,47,14,1527.0,NJN,202311010MIA
,61,50,11,1552.0,NJN,202311010MIA
,63,50,13,1567.0,NJN,202311010MIA
,65,50,15,1597.0,NJN,202311010MIA
,65,53,12,1615.0,NJN,202311010MIA
,67,53,14,1669.0,NJN,202311010MIA
,67,55,12,1708.0,NJN,202311010MIA
,67,57,10,1760.0,NJN,202311010MIA
,68,57,11,1781.0,NJN,202311010MIA
,69,57,12,1781.0,NJN,202311010MIA
,69,58,11,1803.0,NJN,202311010MIA
,71,58,13,1821.0,NJN,202311010MIA
,72,58,14,1850.0,NJN,202311010MIA
,72,60,12,1869.0,NJN,202311010MIA
,75,60,15,1883.0,NJN,202311010MIA
,75,63,12,1898.0,NJN,202311010MIA
,77,63,14,1927.0,NJN,202311010MIA
,77,65,12,1943.0,NJN,202311010MIA
,77,67,10,1970.0,NJN,202311010MIA
,77,68,9,1997.0,NJN,202311010MIA
,77,69,8,1997.0,NJN,202311010MIA
,77,71,6,2037.0,NJN,202311010MIA
,78,71,7,2038.0,NJN,202311010MIA
,78,72,6,2065.0,NJN,202311010MIA
,78,73,5,2065.0,NJN,202311010MIA
,80,73,7,2104.0,NJN,202311010MIA
,80,75,5,2114.0,NJN,202311010MIA
,83,75,8,2158.0,NJN,202311010MIA
,83,78,5,2186.0,NJN,202311010MIA
,86,78,8,2207.0,NJN,202311010MIA
,86,81,5,2258.0,NJN,202311010MIA
,86,83,3,2283.0,NJN,202311010MIA
T,86,86,0,2317.0,NJN,202311010MIA
LC,86,89,-3,2362.0,NJN,202311010MIA
,88,89,-1,2391.0,NJN,202311010MIA
LC,90,89,1,2422.0,NJN,202311010MIA
LC,90,92,-2,2427.0,NJN,202311010MIA
,90,94,-4,2500.0,NJN,202311010MIA
,90,97,-7,2543.0,NJN,202311010MIA
,92,97,-5,2562.0,NJN,202311010MIA
,92,98,-6,2577.0,NJN,202311010MIA
,94,98,-4,2603.0,NJN,202311010MIA
,95,98,-3,2603.0,NJN,202311010MIA
,97,98,-1,2624.0,NJN,202311010MIA
,97,100,-3,2678.0,NJN,202311010MIA
,97,101,-4,2678.0,NJN,202311010MIA
,99,101,-2,2694.0,NJN,202311010MIA
,99,103,-4,2821.0,NJN,202311010MIA
,99,105,-6,2848.0,NJN,202311010MIA
,102,105,-3,2856.0,NJN,202311010MIA
,102,106,-4,2869.0,NJN,202311010MIA
,102,107,-5,2869.0,NJN,202311010MIA
,105,107,-2,2872.0,NJN,202311010MIA
,105,108,-3,2874.0,NJN,202311010MIA
,105,109,-4,2874.0,NJN,202311010MIA
,105,109,-4,2880.0,NJN,202311010MIA
,0,0,0,0.0,WAS,202311030MIA
,2,0,2,26.0,WAS,202311030MIA
,4,0,4,73.0,WAS,202311030MIA
,4,3,1,94.0,WAS,202311030MIA
,6,3,3,109.0,WAS,202311030MIA
,6,5,1,134.0,WAS,202311030MIA
T,6,6,0,153.0,WAS,202311030MIA
,8,6,2,178.0,WAS,202311030MIA
T,8,8,0,210.0,WAS,202311030MIA
,9,8,1,223.0,WAS,202311030MIA
,10,8,2,223.0,WAS,202311030MIA
T,10,10,0,232.0,WAS,202311030MIA
LC,10,13,-3,260.0,WAS,202311030MIA
T,13,13,0,274.0,WAS,202311030MIA
,13,16,-3,292.0,WAS,202311030MIA
T,16,16,0,311.0,WAS,202311030MIA
,16,19,-3,322.0,WAS,202311030MIA
,17,19,-2,342.0,WAS,202311030MIA
,18,19,-1,342.0,WAS,202311030MIA
,18,21,-3,359.0,WAS,202311030MIA
,19,21,-2,366.0,WAS,202311030MIA
,20,21,-1,366.0,WAS,202311030MIA
,20,23,-3,384.0,WAS,202311030MIA
,20,26,-6,434.0,WAS,202311030MIA
,23,26,-3,458.0,WAS,202311030MIA
T,26,26,0,505.0,WAS,202311030MIA
LC,28,26,2,519.0,WAS,202311030MIA
T,28,28,0,537.0,WAS,202311030MIA
,30,28,2,558.0,WAS,202311030MIA
,32,28,4,629.0,WAS,202311030MIA
,32,31,1,646.0,WAS,202311030MIA
,34,31,3,660.0,WAS,202311030MIA
T,34,34,0,672.0,WAS,202311030MIA
,36,34,2,757.0,WAS,202311030MIA
,38,34,4,782.0,WAS,202311030MIA
,38,36,2,804.0,WAS,202311030MIA
,40,36,4,826.0,WAS,202311030MIA
,43,36,7,845.0,WAS,202311030MIA
,43,38,5,868.0,WAS,202311030MIA
,43,40,3,890.0,WAS,202311030MIA
,43,42,1,910.0,WAS,202311030MIA
,45,42,3,928.0,WAS,202311030MIA
,45,44,1,953.0,WAS,202311030MIA
